Time[ms],#Mission,TargetDepth[m],PistonPosition[m],PIDoutput,Pressure[V],MeasuredDepth[m],Psi,Pascal,Battery[V],Temperature,MotionData
88453.00,1,1.500000,0.029464,0.020361,0.585633,1.575458,16.940826,116802.929687,23.068328,-171.914062,0.000000
89452.00,1,1.500000,0.027022,0.019184,0.587281,1.604425,16.982027,117087.000000,23.036100,-173.914062,0.000000
90451.00,1,1.500000,0.026058,0.006914,0.587830,1.614080,16.995759,117181.687500,23.102022,-173.914062,0.000000
91450.00,1,1.500000,0.025702,0.024884,0.587556,1.609252,16.988893,117134.343750,23.112276,-173.914062,0.000000
92449.00,1,1.500000,0.025791,0.012612,0.588105,1.618908,17.002626,117229.031250,23.118135,-175.914062,0.000000
93448.00,1,1.500000,0.025434,0.021488,0.588105,1.618908,17.002626,117229.031250,23.119600,-175.914062,0.000000
94447.00,1,1.500000,0.025065,0.031139,0.587006,1.599597,16.975160,117039.656250,23.109346,-175.914062,0.000000
95446.00,1,1.500000,0.027507,0.025576,0.586457,1.589942,16.961427,116944.976562,23.094697,-175.914062,0.000000
96445.00,1,1.500000,0.025488,0.025171,0.587006,1.599597,16.975160,117039.656250,23.037565,-175.914062,0.000000
97444.00,1,1.500000,0.026078,0.025540,0.586457,1.589942,16.961427,116944.976562,23.107881,-177.914062,0.000000
98443.00,1,1.500000,0.026453,0.034809,0.585908,1.580285,16.947692,116850.273437,23.119600,-177.914062,0.000000
99442.00,1,1.500000,0.028894,0.041887,0.584260,1.551319,16.906492,116566.203125,23.094697,-177.914062,0.000000
100441.00,1,1.500000,0.030017,0.033173,0.583985,1.546490,16.899623,116518.851562,23.528318,-177.914062,0.000000
101440.00,1,1.500000,0.032330,0.046189,0.582337,1.517524,16.858425,116234.796875,23.099092,-179.914062,0.000000
102439.00,1,1.500000,0.033109,0.037286,0.582337,1.517524,16.858425,116234.796875,23.059539,-179.914062,0.000000
103438.00,1,1.500000,0.035130,0.028773,0.581788,1.507867,16.844690,116140.093750,23.094697,-179.914062,0.000000
104437.00,1,1.500000,0.033111,0.021289,0.583985,1.546490,16.899623,116518.851562,23.030241,-179.914062,0.000000
105436.00,1,1.500000,0.032320,0.024052,0.584260,1.551319,16.906492,116566.203125,23.091768,-179.914062,0.000000
106435.00,1,1.500000,0.030301,0.019331,0.586732,1.594770,16.968294,116992.312500,23.014125,-181.914062,0.000000
107434.00,1,1.500000,0.029511,0.034725,0.585908,1.580285,16.947692,116850.273437,23.088836,-181.914062,0.000000
108433.00,1,1.500000,0.030464,0.004912,0.590302,1.657531,17.057561,117607.796875,23.049283,-181.914062,0.000000
